"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2016","2017","2018","2019","2020"
"13029","Bryan, GA",815479,881089,907522,931778,935816
"13031","Bulloch, GA",2055326,2142199,2148559,2230248,2181129
"13033","Burke, GA",2285389,2479441,2502329,2770976,2925520
"13035","Butts, GA",532731,563077,573731,606238,618046
"13037","Calhoun, GA",112896,116277,107428,116646,123269
"13039","Camden, GA",1778766,1815759,1706146,1681147,1646245
"13043","Candler, GA",221369,228308,230926,242307,247958
"13045","Carroll, GA",4017668,4035264,4287421,4379895,4400168
"13047","Catoosa, GA",1242190,1303059,1325094,1369792,1339864
"13049","Charlton, GA",205710,183147,173760,188145,190996
"13051","Chatham, GA",15923895,16428911,16437050,16972627,15642840
"13053","Chattahoochee, GA",1589360,1518856,1448459,1461834,1482800
"13055","Chattooga, GA",548405,570075,556996,521470,455798
"13057","Cherokee, GA",6605201,6823417,6945639,7328211,7195518
"13059","Clarke, GA",6534631,6896415,7020361,6953967,6641583
"13061","Clay, GA",72072,73804,76373,83827,91665
"13063","Clayton, GA",15930958,16332087,16906216,17042400,12905048
"13065","Clinch, GA",234812,231163,217221,227836,251935
"13067","Cobb, GA",45341693,47659687,49147970,50373128,48514523
"13069","Coffee, GA",1286314,1364712,1372368,1417286,1344193
"13071","Colquitt, GA",1235898,1267188,1309815,1332075,1337602
"13073","Columbia, GA",3401693,3521769,3705448,3761838,3695253
"13075","Cook, GA",320115,320645,338481,340272,341195
"13077","Coweta, GA",3810937,3977627,4141214,4439799,4420137
"13079","Crawford, GA",168471,156335,155410,145580,143192
"13081","Crisp, GA",699009,757745,751452,808578,761697
"13083","Dade, GA",329583,344383,368728,381863,365935
"13085","Dawson, GA",700024,775582,788216,819918,783732
"13087","Decatur, GA",699530,716644,712310,734452,744779
"13089","DeKalb, GA",35098312,35904535,37234455,37502746,36347742
"13091","Dodge, GA",456338,400074,374436,400451,378259
"13093","Dooly, GA",399815,382896,367046,383901,344372
